P/E (TTM),P/E (FWD),P/S (TTM),P/B,PEG R
14.428849,12.39866,1.6676042,2.135295,1549.8325
59.93206,41.757397,16.155104,7.4067855,104.91808291457285
31.576159,27.402298,10.042456,5.2493668,355.87399999999997
11.154638,,0.0021276507,0.0037470888,
28.6325,20.748188,1.5216025,8.17867,-399.0036153846154
15.437383,12.308495,1.6701412,1.1139735,
8.758428,7.531401,0.036014684,0.19463414,-15.24575101214575
16.376068,,1.8971946,2.110655,
11.616437,6.8387094,0.002090477,0.011746881,-15.978292990654205
21.96889,18.938698,4.3150926,9.555384,24.62769570871261
15.831197,20.379253,1.8948942,2.0404284,11.253038652678079
14.525641,6.4742856,0.24341059,1.000795,
13.916666,,7.464405,5.65782,
16.973383,16.973383,1.8970779,1.6323545,-125.72876296296295
358.74997,63.62069,14.933547,14.088578,-67.97082264957265
7.8500814,,7.4540043,7.204767,
,38.358208,6.9212,-32.35757,241.24659119496854
42.024998,11.102305,1.1096753,1.5192047,
41.649998,,1.1079557,1.5056485,
,-226.65202,12.580852,15.653448,
28.344442,30.776138,6.539374,5.44065,94.11662996941895
18.1653,17.427261,2.2373865,34.72708,-348.54522000000003
11.312354,9.235014,0.4174903,2.8614388,-45.7178910891089
21.800001,23.357145,3.9924095,5.532995,67.11823275862069
21.304348,,3.9883394,2.7636774,
37.56755,33.290493,14.6940365,-49.521606,204.2361533742331
26.211765,14.101266,1.6157144,1.5989093,-18.85195989304813
3.1587036,,0.5990025,0.5939736,
16.056604,10.084174,3.1536865,1.754157,8.14553634894992
56.79757,14.537824,0.37075064,1.8100299,-92.01154430379746
20.26593,19.10183,3.100145,2.0634608,49.104961439588685
,40.046227,8.279041,32.16533,
12.908257,15.183453,0.867355,1.7189981,-128.67333050847458
42.994987,20.111372,5.742977,7.080066,-83.79738333333333
54.53757,53.305084,25.778627,5.543804,38.348981294964034
14.202615,16.910505,1.5518961,2.4200912,75.83186098654708
7.9213486,,0.033842944,0.088016085,
29.491962,25.128767,6.069489,4.078076,364.1850289855072
17.505262,40.560974,8.223862,0.40791795,133.864600660066
18.65689,17.478022,0.7647926,0.28771317,-388.4004888888889
30.319662,28.02138,8.203385,7.072704,92.47980198019802
8.040984,4.785366,0.20121692,0.19552739,-28.14921176470588
,75.94102,16.527847,23.320107,
,29.06505,7.248445,12.071303,
18.2522,,0.75950295,0.2814723,
21.032827,20.464373,3.7334628,2.4930408,59.3170231884058
23.44216,20.041758,1.9869804,5.193644,133.61172000000002
10.84868,,4.6487384,0.95509976,
28.586668,17.57377,2.7174466,3.8340487,2.7917029388403494
29.250988,24.34375,5.1944995,-5.357634,624.1987179487179
97.17777,326.34326,24.532692,17.13558,
33.812023,68.49639,13.015873,6.660011,9.31670157780196
14.693877,,0.0055991337,0.008232979,
33.10466,,3.5944,8.234882,
31.538324,,3.594394,7.8314514,
10.0,9.4262295,2.9790509,1.0333983,-19.276542944785277
22.138956,11.527132,3.236223,2.4565654,1.3489914569923933
15.324608,17.017443,1.5280535,3.837682,3.4455239927110752
84.136475,144.28511,2.4365995,26.753197,17.718913176961806
105.37501,10.308775,8.441648,1.0331515,3.2830493630573248
10.226766,63.078243,4.2266064,6.711393,199.6146930379747
21.97059,,0.008349756,0.013959064,
21.451647,47.77299,15.451352,11.55386,134.19379213483145
36.657406,22.494318,3.9106627,1.7702162,-101.32575675675676
44.838097,,5.9962792,29.647356,
27.163042,32.454544,1.2891012,0.45580563,73.09581981981981
8.821977,35.51513,1.029123,1.4997368,54.05651445966514
104.430374,,8.261399,5.0554566,
2.3102343,,8.0579815,0.83036405,
39.849762,29.782455,4.735472,11.023376,103.77162020905924
,51.23515,8.365831,9.14831,
39.983356,31.7489,5.0152354,4.5263705,738.346511627907
21.372654,16.203253,0.4678135,20.803759,-150.03012037037038
42.15659,37.29904,12.720545,121.87809,-236.0698734177215
8.406977,8.239316,0.609875,2.1511455,13.140854864433813
23.605726,7.2954392,0.637027,1.2333276,-13.288595992714024
69.13618,67.13636,1.5886439,103.8147,-111.89393333333334
12.098092,11.472868,1.3647733,2.1880186,27.982604878048782
339.84616,78.89286,12.839551,4.3482113,-99.99095057034219
72.065575,71.897194,8.991868,10.78773,263.35968498168495
,26.636362,7.202728,4.7207303,
55.985977,55.596287,8.951423,8.400351,203.6494029304029
13.788194,11.996979,1.0508853,1.3799214,-110.06402752293577
27.025251,19.458181,3.1624756,18.464458,50.67234635416666
18.454546,18.0605,2.2660751,1.5424125,105.0029069767442
7.335889,7.48966,0.66284555,2.258233,92.46493827160494
22.732367,,,1.2505794,
23.787798,21.352383,3.219126,8.051353,-32.698901990811635
278.2,12.180386,3.5215144,2.567368,
14.125654,16.059525,1.3966191,3.537433,3.251574205304718
13.246073,,1.3950653,3.3171628,
33.22677,28.826296,5.4193306,3.8692763,204.4418156028369
23.499228,17.542824,0.16261269,-13.025955,438.57059999999996
17.925926,6.2051287,0.72728187,0.39107952,17.284481058495825
,25.423077,8.421749,5.202266,
,,,15.033058,
22.56475,17.486341,0.2876817,1.9423246,-88.31485353535354
