Rev,Gr P,EBITDA,Op P,Net Inc,ROA,ROE,EPS (TTM),EPS (FWD)
30848000000.0,16017999872.0,15374000128.0,7473544960.0,4729999872.0,0.028269999,0.0959,6.11,6.34
21398999040.0,14318000128.0,5175000064.0,4316820076.3392,3763000064.0,0.0671,0.17579001,0.74,0.75
78279999488.0,24910000128.0,30915000320.0,19475281072.619522,675000000.0,0.02628,0.017549999,0.44,5.87
21398999040.0,14318000128.0,5175000064.0,4316820076.3392,3763000064.0,0.0671,0.17579001,7.44,7.26
462321984.0,324083008.0,6676076032.0,56663560078.552315,4734145024.0,0.115930006,0.18014999,14.26,-0.43
4351000064.0,3086000128.0,2688000000.0,2339141144.40704,2432999936.0,0.11006,0.23072,1.43,1.72
5089287168.0,4354952192.0,1786873984.0,1493909355.2947202,1011950976.0,0.11731,0.21839,3.7,6.85
72698003456.0,29727000576.0,14499000320.0,11593149884.148287,5970999808.0,0.11844,136.31683,23.79,24.55
3567000064.0,3264000000.0,,1583319988.40832,1788000000.0,0.04664,0.23536,1.97,0.73
20750100480.0,7523200000.0,4073299968.0,4188822991.3986044,2874400000.0,0.11297,0.39078,12.66,12.65
19850000384.0,7314999808.0,4967000064.0,4236585581.95712,3531000064.0,0.08632,0.2741,27.12,29.44
64476999680.0,26411999232.0,16888999936.0,11663889886.881996,6224000000.0,0.034479998,0.099209994,2.219,
23950000128.0,9511999488.0,7016999936.0,4421170023.628799,2720999936.0,0.06966,0.32691002,6.74,8.07
7306999808.0,5318000128.0,3384999936.0,3264694444.21632,2132000000.0,0.1275,0.5302,11.74,13.32
13726742740992.0,3776811106304.0,3500037111808.0,1793261671683.195,985594003456.0,0.03607,0.10086001,2.03,0.1
23079899136.0,11278100480.0,4309199872.0,4029750158.346609,2544900096.0,0.093389995,0.62431,10.1,12.78
384328990720.0,51134001152.0,13973000192.0,10772741609.8816,4530999808.0,0.02286,0.05881,3.59,6.48
9534000128.0,6242999808.0,3092999936.0,2942001759.49824,1924999936.0,0.12376001,0.72047997,1.39,
184805998592.0,47546998784.0,27345000448.0,16870939611.463678,562000000.0,0.02341,0.020510001,0.25,3.77
17184000000.0,8597999616.0,6189000192.0,5047628160.0,3603000064.0,0.07515,0.46622002,13.46,14.29
9534000128.0,6242999808.0,3092999936.0,2942001759.49824,1924999936.0,0.12376001,0.72047997,1.39,1.66
184805998592.0,47546998784.0,27345000448.0,16870939611.463678,562000000.0,0.02341,0.020510001,0.04,0.65
377595002880.0,13029999616.0,5607000064.0,4878527814.804603,3164000000.0,0.04182,,24.95,36.81
17122020352.0,8800279552.0,3777979904.0,3460189092.93568,2423674112.0,0.13619,,2.79,44.94
10340180992.0,5174163968.0,2716808960.0,2315786934.96832,1805929984.0,0.15529001,0.40269002,4.4,4.68
96700997632.0,21492000768.0,9904000000.0,5356268258.83648,4560000000.0,0.053629998,,6.39,9.4
